,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,57344,0.278723,0.198905,0.198879,,,
1,114613,0.0795594,0.0509041,0.0509041,,,
2,171881,0.0235041,0.0145477,0.0145477,,,
3,229147,0.00713149,0.00427113,0.00427113,,,
4,286417,0.00209673,0.00122957,0.00122957,,,
5,343683,0.000582426,0.00032357,0.00032357,,,
6,400951,0.000155314,9.05996e-05,9.05996e-05,,,
7,458219,1.29428e-05,0.0,0.0,,,
8,515487,1.29428e-05,0.0,0.0,,,
9,572756,0.0,0.0,0.0,,,
10,630022,0.0,0.0,0.0,,,
11,687290,0.0,0.0,0.0,,,
12,744556,0.0,0.0,0.0,,,
13,801823,0.0,0.0,0.0,,,
14,859091,0.0,0.0,0.0,,,
15,916359,0.0,0.0,0.0,,,
16,973630,0.0,0.0,0.0,,,
17,1030896,0.0,0.0,0.0,,,
18,1088164,0.0,0.0,0.0,,,
19,1145432,0.0,0.0,0.0,,,
20,1202699,0.0,0.0,0.0,,,
21,1259966,0.0,0.0,0.0,,,
22,1317232,0.0,0.0,0.0,,,
23,1374502,0.0,0.0,0.0,,,
24,1431769,0.0,0.0,0.0,,,
25,131072,,,,0.269909,0.194349,0.194349
26,163840,,,,0.14659,0.100436,0.100436
27,196608,,,,0.074913,0.0498945,0.0498945
28,229376,,,,0.0378318,0.0247466,0.0247466
29,262144,,,,0.0193107,0.0126839,0.0126839
30,294912,,,,0.00986242,0.00636786,0.00636786
31,327680,,,,0.00482767,0.00298979,0.00298979
32,360448,,,,0.00231676,0.00141077,0.00141077
33,393216,,,,0.00124251,0.00073774,0.00073774
34,425984,,,,0.000621255,0.000362399,0.000362399
35,458752,,,,0.000297685,0.000181199,0.000181199
36,491520,,,,0.000194142,0.000142371,0.000142371
