,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,81346,0.684212,0.684212,0.684212,,,
1,162618,0.441652,0.441652,0.441652,,,
2,243891,0.290924,0.290924,0.290924,,,
3,325162,0.192821,0.192821,0.192821,,,
4,406433,0.12854,0.12854,0.12854,,,
5,487707,0.0853429,0.0853429,0.0853429,,,
6,568978,0.0565932,0.0565932,0.0565932,,,
7,650252,0.0389996,0.0389996,0.0389996,,,
8,731519,0.0260518,0.0260518,0.0260518,,,
9,812793,0.0172498,0.0172498,0.0172498,,,
10,894064,0.0115415,0.0115415,0.0115415,,,
11,975338,0.00779159,0.00779159,0.00779159,,,
12,1056610,0.00530203,0.00530203,0.00530203,,,
13,1137881,0.00394788,0.00394788,0.00394788,,,
14,1219155,0.0027708,0.0027708,0.0027708,,,
15,1300425,0.00184373,0.00184373,0.00184373,,,
16,1381697,0.00112499,0.00112499,0.00112499,,,
17,1462968,0.000864574,0.000864574,0.000864574,,,
18,1544241,0.000593744,0.000593744,0.000593744,,,
19,1625514,0.000427079,0.000427079,0.000427079,,,
20,1706784,0.000239581,0.000239581,0.000239581,,,
21,1788057,0.000239581,0.000239581,0.000239581,,,
22,1869328,0.000114582,0.000114582,0.000114582,,,
23,1950601,8.33325e-05,8.33325e-05,8.33325e-05,,,
24,2031872,8.33325e-05,8.33325e-05,8.33325e-05,,,
25,524288,,,,0.264883,0.264883,0.264883
26,655360,,,,0.142363,0.142363,0.142363
27,786432,,,,0.073843,0.073843,0.073843
28,917504,,,,0.0375621,0.0375621,0.0375621
29,1048576,,,,0.0194373,0.0194373,0.0194373
30,1179648,,,,0.00971865,0.00971865,0.00971865
31,1310720,,,,0.0049062,0.0049062,0.0049062
32,1441792,,,,0.00247914,0.00247914,0.00247914
33,1572864,,,,0.00135415,0.00135415,0.00135415
34,1703936,,,,0.000614577,0.000614577,0.000614577
35,1835008,,,,0.000239581,0.000239581,0.000239581
36,1966080,,,,0.000135415,0.000135415,0.000135415
