,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,81346,0.559481,0.0841717,0.0200204,,,
1,162618,0.312916,0.00745015,0.000750015,,,
2,243891,0.176574,0.000650013,8.00016e-05,,,
3,325162,0.0963219,0.000110002,3.00006e-05,,,
4,406433,0.0547411,1.00002e-05,1.00002e-05,,,
5,487707,0.0300706,0.0,0.0,,,
6,568978,0.0175404,1.00002e-05,1.00002e-05,,,
7,650252,0.00951019,0.0,0.0,,,
8,731519,0.0049801,0.0,0.0,,,
9,812793,0.00315006,0.0,0.0,,,
10,894064,0.00169003,0.0,0.0,,,
11,975338,0.00101002,0.0,0.0,,,
12,1056610,0.000600012,0.0,0.0,,,
13,1137881,0.000290006,0.0,0.0,,,
14,1219155,0.000180004,0.0,0.0,,,
15,1300425,0.000100002,0.0,0.0,,,
16,1381697,0.0,0.0,0.0,,,
17,1462968,1.00002e-05,0.0,0.0,,,
18,1544241,1.00002e-05,0.0,0.0,,,
19,1625514,0.0,0.0,0.0,,,
20,1706784,0.0,0.0,0.0,,,
21,1788057,0.0,0.0,0.0,,,
22,1869328,0.0,0.0,0.0,,,
23,1950601,0.0,0.0,0.0,,,
24,2031872,0.0,0.0,0.0,,,
25,524288,,,,0.263395,0.00565011,0.000660013
26,655360,,,,0.141653,0.000610012,0.000120002
27,786432,,,,0.0731515,3.00006e-05,2.00004e-05
28,917504,,,,0.0378108,1.00002e-05,1.00002e-05
29,1048576,,,,0.0189904,0.0,0.0
30,1179648,,,,0.00966019,0.0,0.0
31,1310720,,,,0.0049101,0.0,0.0
32,1441792,,,,0.00246005,0.0,0.0
33,1572864,,,,0.00131003,0.0,0.0
34,1703936,,,,0.000700014,0.0,0.0
35,1835008,,,,0.000440009,0.0,0.0
36,1966080,,,,0.000160003,0.0,0.0
