,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,80772,0.475845,0.475845,0.475845,,,
1,161472,0.229367,0.229367,0.229367,,,
2,242166,0.112369,0.112369,0.112369,,,
3,322865,0.0542771,0.0542771,0.0542771,,,
4,403561,0.0272836,0.0272836,0.0272836,,,
5,484260,0.0131398,0.0131398,0.0131398,,,
6,564954,0.00694917,0.00694917,0.00694917,,,
7,645654,0.0038371,0.0038371,0.0038371,,,
8,726349,0.00180701,0.00180701,0.00180701,,,
9,807044,0.000903504,0.000903504,0.000903504,,,
10,887743,0.000524255,0.000524255,0.000524255,,,
11,968439,0.000267705,0.000267705,0.000267705,,,
12,1049136,7.80806e-05,7.80806e-05,7.80806e-05,,,
13,1129836,6.69262e-05,6.69262e-05,6.69262e-05,,,
14,1210531,4.46175e-05,4.46175e-05,4.46175e-05,,,
15,1291227,1.11544e-05,1.11544e-05,1.11544e-05,,,
16,1371925,0.0,0.0,0.0,,,
17,1452624,0.0,0.0,0.0,,,
18,1533319,1.11544e-05,1.11544e-05,1.11544e-05,,,
19,1614015,0.0,0.0,0.0,,,
20,1694713,1.11544e-05,1.11544e-05,1.11544e-05,,,
21,1775408,0.0,0.0,0.0,,,
22,1856108,0.0,0.0,0.0,,,
23,1936802,0.0,0.0,0.0,,,
24,2017502,0.0,0.0,0.0,,,
25,524288,,,,0.181459,0.181459,0.181459
26,655360,,,,0.0960279,0.0960279,0.0960279
27,786432,,,,0.0487669,0.0487669,0.0487669
28,917504,,,,0.0250416,0.0250416,0.0250416
29,1048576,,,,0.0124037,0.0124037,0.0124037
30,1179648,,,,0.0063803,0.0063803,0.0063803
31,1310720,,,,0.00310091,0.00310091,0.00310091
32,1441792,,,,0.00155046,0.00155046,0.00155046
33,1572864,,,,0.000747342,0.000747342,0.000747342
34,1703936,,,,0.000334631,0.000334631,0.000334631
35,1835008,,,,0.000145007,0.000145007,0.000145007
36,1966080,,,,8.92349e-05,8.92349e-05,8.92349e-05
