,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,80772,0.540669,0.482589,0.476367,,,
1,161472,0.295603,0.259901,0.259251,,,
2,242166,0.157045,0.137828,0.137808,,,
3,322865,0.0865403,0.0755664,0.0755564,,,
4,403561,0.0481769,0.0419247,0.0419247,,,
5,484260,0.0270295,0.0234382,0.0234382,,,
6,564954,0.0150353,0.0131646,0.0131646,,,
7,645654,0.00835292,0.0074226,0.0074226,,,
8,726349,0.00455159,0.00395138,0.00395138,,,
9,807044,0.00260091,0.0022908,0.0022908,,,
10,887743,0.0014305,0.00127044,0.00127044,,,
11,968439,0.00077027,0.000700245,0.000700245,,,
12,1049136,0.000420147,0.00037013,0.00037013,,,
13,1129836,0.000360126,0.000310109,0.000310109,,,
14,1210531,0.000120042,0.000110039,0.000110039,,,
15,1291227,0.000130046,0.000120042,0.000120042,,,
16,1371925,6.0021e-05,6.0021e-05,6.0021e-05,,,
17,1452624,6.0021e-05,5.00175e-05,5.00175e-05,,,
18,1533319,2.0007e-05,1.00035e-05,1.00035e-05,,,
19,1614015,1.00035e-05,1.00035e-05,1.00035e-05,,,
20,1694713,0.0,0.0,0.0,,,
21,1775408,0.0,0.0,0.0,,,
22,1856108,0.0,0.0,0.0,,,
23,1936802,0.0,0.0,0.0,,,
24,2017502,0.0,0.0,0.0,,,
25,524288,,,,0.181624,0.159286,0.159136
26,655360,,,,0.0945031,0.0826589,0.0826389
27,786432,,,,0.0476967,0.0416046,0.0416046
28,917504,,,,0.0243385,0.0211974,0.0211974
29,1048576,,,,0.0121443,0.0104337,0.0104337
30,1179648,,,,0.00602211,0.00508178,0.00508178
31,1310720,,,,0.00301105,0.00253089,0.00253089
32,1441792,,,,0.0014405,0.00124043,0.00124043
33,1572864,,,,0.000760266,0.000660231,0.000660231
34,1703936,,,,0.000360126,0.000340119,0.000340119
35,1835008,,,,0.000180063,0.000180063,0.000180063
36,1966080,,,,9.00315e-05,9.00315e-05,9.00315e-05
