,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,90539,0.845177,0.457159,0.216154,,,
1,181001,0.609612,0.116062,0.0182204,,,
2,271463,0.466509,0.0391608,0.00254005,,,
3,361927,0.369387,0.0137203,0.000420008,,,
4,452388,0.285296,0.00460009,7.00014e-05,,,
5,542848,0.220634,0.00182004,4.00008e-05,,,
6,633311,0.171653,0.000570011,2.00004e-05,,,
7,723774,0.132873,0.000230005,2.00004e-05,,,
8,814236,0.104592,9.00018e-05,2.00004e-05,,,
9,904696,0.0811416,5.0001e-05,0.0,,,
10,995158,0.0627213,0.0,0.0,,,
11,1085622,0.050991,0.0,0.0,,,
12,1176083,0.0397108,0.0,0.0,,,
13,1266549,0.0305406,1.00002e-05,0.0,,,
14,1357008,0.0244505,0.0,0.0,,,
15,1447472,0.0193004,0.0,0.0,,,
16,1537932,0.0145503,0.0,0.0,,,
17,1628396,0.0116302,0.0,0.0,,,
18,1718857,0.00969019,0.0,0.0,,,
19,1809317,0.00696014,0.0,0.0,,,
20,1899781,0.00551011,0.0,0.0,,,
21,1990243,0.00431009,0.0,0.0,,,
22,2080704,0.00332007,0.0,0.0,,,
23,2171166,0.00284006,0.0,0.0,,,
24,2261629,0.00239005,0.0,0.0,,,
25,1048576,,,,0.219924,0.00246005,0.000210004
26,1310720,,,,0.117882,0.000200004,5.0001e-05
27,1572864,,,,0.0604212,2.00004e-05,2.00004e-05
28,1835008,,,,0.0303906,1.00002e-05,1.00002e-05
29,2097152,,,,0.0151103,1.00002e-05,1.00002e-05
30,2359296,,,,0.00751015,0.0,0.0
31,2621440,,,,0.00375008,0.0,0.0
32,2883584,,,,0.00181004,0.0,0.0
33,3145728,,,,0.000950019,0.0,0.0
34,3407872,,,,0.000440009,0.0,0.0
35,3670016,,,,0.000220004,0.0,0.0
36,3932160,,,,0.000100002,0.0,0.0
