,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,0.993331,,,,,
1,75034,0.297262,,,,,
2,137534,0.18301,,,,,
3,200034,0.145057,,,,,
4,262534,0.126129,,,,,
5,325034,0.115396,,,,,
6,387534,0.1067,,,,,
7,450034,0.0962504,,,,,
0,901590,,0.0202352,,,,
1,782117,,0.0462782,,,,
2,610710,,0.0933519,,,,
3,485167,,0.143913,,,,
4,372392,,0.210916,,,,
5,294535,,0.276809,,,,
6,219539,,0.319916,,,,
7,205080,,0.343573,,,,
8,202061,,0.350307,,,,
9,202033,,0.350536,,,,
10,202033,,0.350536,,,,
0,211693,,,0.358479,,,
0,898097,,,,0.0661211,,
1,853048,,,,0.0681806,,
2,815343,,,,0.0697933,,
3,783456,,,,0.0713624,,
4,755894,,,,0.0721579,,
5,732204,,,,0.07267,,
6,711249,,,,0.0748167,,
7,692798,,,,0.0761461,,
8,676245,,,,0.0771812,,
9,661634,,,,0.079633,,
0,1312027,,,,,0.0670691,
1,1192763,,,,,0.0680607,
2,1093376,,,,,0.0700875,
3,1009279,,,,,0.0716566,
4,937197,,,,,0.0725066,
5,874725,,,,,0.0739231,
6,820062,,,,,0.0762332,
7,771831,,,,,0.0771486,
8,728958,,,,,0.0784671,
9,690598,,,,,0.0789465,
0,905455,,,,,,0.0396313
