,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,Old CHaREQ,FST
0,12534,0.999275,,,,,
1,75034,0.999109,,,,,
2,137534,0.998031,,,,,
3,200034,0.995255,,,,,
4,262534,0.990613,,,,,
5,325034,0.985599,,,,,
6,387534,0.976855,,,,,
7,450034,0.967571,,,,,
0,1414425,,0.0,,,,
1,1284048,,0.16639,,,,
2,1083183,,0.388002,,,,
3,905516,,0.564608,,,,
4,701540,,0.734397,,,,
5,492842,,0.871384,,,,
6,328389,,0.95114,,,,
7,182512,,0.989515,,,,
8,164100,,0.992623,,,,
9,164095,,0.992623,,,,
10,164095,,0.992623,,,,
0,164053,,,0.992623,,,
0,1446609,,,,0.522876,,
1,1373887,,,,0.535516,,
2,1313155,,,,0.553191,,
3,1261925,,,,0.565064,,
4,1217680,,,,0.578181,,
5,1179203,,,,0.592851,,
6,1145847,,,,0.607377,,
7,1115949,,,,0.616328,,
8,1089366,,,,0.62959,,
9,1065676,,,,0.643183,,
0,2113235,,,,,0.523746,
1,1921133,,,,,0.539059,
2,1761049,,,,,0.553523,
3,1625593,,,,,0.575197,
4,1509488,,,,,0.588769,
5,1408864,,,,,0.597016,
6,1320817,,,,,0.612288,
7,1243129,,,,,0.621446,
8,1174074,,,,,0.633568,
9,1112287,,,,,0.643784,
0,1414394,,,,,,0.0
