,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,CHaREQ,Layered CHaREQ h=4 b=0,Layered CHaREQ h=4 b=1,Layered CHaREQ h=4 b=2,Layered CHaREQ h=6 b=0,Layered CHaREQ h=6 b=1,Layered CHaREQ h=6 b=2,SuRF Base,FST
0,12534,0.998337,,,,,,,,,,,,
1,25034,0.979214,,,,,,,,,,,,
2,37534,0.920599,,,,,,,,,,,,
3,50034,0.865309,,,,,,,,,,,,
4,62534,0.811058,,,,,,,,,,,,
5,75034,0.780087,,,,,,,,,,,,
6,87534,0.744959,,,,,,,,,,,,
7,100034,0.730202,,,,,,,,,,,,
0,127361,,0.0,,,,,,,,,,,
1,114164,,0.157556,,,,,,,,,,,
2,87790,,0.452089,,,,,,,,,,,
3,71339,,0.576595,,,,,,,,,,,
4,46243,,0.782582,,,,,,,,,,,
5,28482,,0.905009,,,,,,,,,,,
6,24709,,0.926003,,,,,,,,,,,
7,22981,,0.934525,,,,,,,,,,,
8,22918,,0.934941,,,,,,,,,,,
9,22909,,0.934941,,,,,,,,,,,
10,22909,,0.934941,,,,,,,,,,,
0,22909,,,0.934941,,,,,,,,,,
1,22909,,,0.934941,,,,,,,,,,
2,22915,,,0.934941,,,,,,,,,,
3,22939,,,0.934525,,,,,,,,,,
4,23081,,,0.933278,,,,,,,,,,
5,24001,,,0.922054,,,,,,,,,,
6,27580,,,0.885679,,,,,,,,,,
7,38120,,,0.778424,,,,,,,,,,
8,59864,,,0.574309,,,,,,,,,,
9,91329,,,0.309291,,,,,,,,,,
10,112836,,,0.118271,,,,,,,,,,
11,123040,,,0.0359593,,,,,,,,,,
12,126269,,,0.00644357,,,,,,,,,,
13,126937,,,0.000831428,,,,,,,,,,
14,127361,,,0.0,,,,,,,,,,
0,22883,,,,0.934525,,,,,,,,,
0,115760,,,,,0.774683,,,,,,,,
1,109260,,,,,0.777801,,,,,,,,
2,103822,,,,,0.784037,,,,,,,,
3,99239,,,,,0.79339,,,,,,,,
4,95256,,,,,0.798794,,,,,,,,
5,91804,,,,,0.800249,,,,,,,,
6,88719,,,,,0.810019,,,,,,,,
7,86084,,,,,0.813137,,,,,,,,
8,83677,,,,,0.813344,,,,,,,,
9,81568,,,,,0.827271,,,,,,,,
0,118194,,,,,,0.77011,,,,,,,
1,111900,,,,,,0.781958,,,,,,,
2,106655,,,,,,0.792559,,,,,,,
3,102217,,,,,,0.792559,,,,,,,
4,98412,,,,,,0.795053,,,,,,,
5,95115,,,,,,0.804199,,,,,,,
6,92230,,,,,,0.806485,,,,,,,
7,89685,,,,,,0.818541,,,,,,,
8,87423,,,,,,0.821867,,,,,,,
9,85398,,,,,,0.823114,,,,,,,
0,106655,,,,,,,0.815839,,,,,,
1,100361,,,,,,,0.824153,,,,,,
2,95115,,,,,,,0.837664,,,,,,
3,90677,,,,,,,0.83704,,,,,,
4,86873,,,,,,,0.836832,,,,,,
5,83576,,,,,,,0.846602,,,,,,
6,80691,,,,,,,0.844939,,,,,,
7,78146,,,,,,,0.858242,,,,,,
8,75883,,,,,,,0.863854,,,,,,
9,73859,,,,,,,0.861152,,,,,,
0,95116,,,,,,,,0.884224,,,,,
1,88821,,,,,,,,0.890667,,,,,
2,83576,,,,,,,,0.900021,,,,,
3,79138,,,,,,,,0.901476,,,,,
4,75334,,,,,,,,0.902307,,,,,
5,72037,,,,,,,,0.905633,,,,,
6,69152,,,,,,,,0.90397,,,,,
7,66606,,,,,,,,0.910621,,,,,
8,64344,,,,,,,,0.917481,,,,,
9,62319,,,,,,,,0.920183,,,,,
0,125973,,,,,,,,,0.773228,,,,
1,120150,,,,,,,,,0.78175,,,,
2,115298,,,,,,,,,0.785907,,,,
3,111192,,,,,,,,,0.790272,,,,
4,107672,,,,,,,,,0.796716,,,,
5,104622,,,,,,,,,0.813137,,,,
6,101954,,,,,,,,,0.803367,,,,
7,99599,,,,,,,,,0.811474,,,,
8,97505,,,,,,,,,0.817917,,,,
9,95633,,,,,,,,,0.827687,,,,
0,115298,,,,,,,,,,0.819164,,,
1,109475,,,,,,,,,,0.824984,,,
2,104623,,,,,,,,,,0.828726,,,
3,100517,,,,,,,,,,0.832467,,,
4,96997,,,,,,,,,,0.838911,,,
5,93947,,,,,,,,,,0.847225,,,
6,91279,,,,,,,,,,0.848057,,,
7,88924,,,,,,,,,,0.853669,,,
8,86830,,,,,,,,,,0.852837,,,
9,84958,,,,,,,,,,0.86614,,,
0,104623,,,,,,,,,,,0.883808,,
1,98800,,,,,,,,,,,0.888381,,
2,93947,,,,,,,,,,,0.894201,,
3,89842,,,,,,,,,,,0.899189,,
4,86322,,,,,,,,,,,0.901268,,
5,83272,,,,,,,,,,,0.902515,,
6,80603,,,,,,,,,,,0.902515,,
7,78248,,,,,,,,,,,0.911037,,
8,76155,,,,,,,,,,,0.910414,,
9,74282,,,,,,,,,,,0.919767,,
0,22883,,,,0.934525,,,,,,,,,
1,24147,,,,0.934525,,,,,,,,,
2,25395,,,,0.934525,,,,,,,,,
3,26643,,,,0.928913,,,,,,,,,
4,27891,,,,0.928913,,,,,,,,,
5,29139,,,,0.901268,,,,,,,,,
6,30395,,,,0.877157,,,,,,,,,
7,31643,,,,0.861359,,,,,,,,,
8,32891,,,,0.849719,,,,,,,,,
0,22883,,,,,,,,,,,,0.934525,
0,127330,,,,,,,,,,,,,0.0
