,Memory usage,RangeBF,Range KR-BF
0,12534,0.999836,
1,137534,0.999523,
2,262534,0.992713,
3,387534,0.962677,
4,512534,0.908807,
5,637534,0.831513,
6,762534,0.761917,
7,887534,0.696335,
0,12534,,0.999836
1,137534,,0.999836
2,262534,,0.999408
3,387534,,0.996151
4,512534,,0.987104
5,637534,,0.964898
6,762534,,0.935997
7,887534,,0.899513
