,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,0.999522,
2,262534,0.993122,
3,387534,0.963015,
4,512534,0.905604,
5,637534,0.830728,
6,762534,0.754338,
7,887534,0.692294,
0,12534,,1.0
1,137534,,0.999984
2,262534,,0.999491
3,387534,,0.996402
4,512534,,0.986674
5,637534,,0.965069
6,762534,,0.933705
7,887534,,0.898694
