,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,0.996402,
2,262534,0.945289,
3,387534,0.83172,
4,512534,0.709277,
5,637534,0.625089,
6,762534,0.575073,
7,887534,0.551146,
0,12534,,1.0
1,137534,,0.999855
2,262534,,0.99495
3,387534,,0.970845
4,512534,,0.922168
5,637534,,0.868522
6,762534,,0.826944
7,887534,,0.799484
