,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,0.329659,
2,262534,0.149873,
3,387534,0.0827059,
4,512534,0.0537152,
5,637534,0.0373828,
6,762534,0.0271838,
7,887534,0.0207794,
0,12534,,0.99996
1,137534,,0.378667
2,262534,,0.159469
3,387534,,0.0910578
4,512534,,0.0587544
5,637534,,0.0420105
6,762534,,0.0343311
7,887534,,0.0282579
