,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,0.977636,
2,262534,0.829544,
3,387534,0.67004,
4,512534,0.594531,
5,637534,0.56733,
6,762534,0.557105,
7,887534,0.554004,
0,12534,,1.0
1,137534,,0.999256
2,262534,,0.98173
3,387534,,0.933937
4,512534,,0.887704
5,637534,,0.860041
6,762534,,0.846928
7,887534,,0.841382
