,Memory usage,RangeBF,Range KR-BF
0,12534,0.995617,
1,137534,0.0894562,
2,262534,0.0219062,
3,387534,0.0093269,
4,512534,0.00525389,
5,637534,0.00308228,
6,762534,0.00206153,
7,887534,0.00132098,
0,12534,,0.998609
1,137534,,0.120739
2,262534,,0.0289514
3,387534,,0.0119689
4,512534,,0.00703521
5,637534,,0.00529392
6,762534,,0.00442327
7,887534,,0.00416308
