,Memory usage,RangeBF,Range KR-BF
0,12534,0.993114,
1,137534,0.125894,
2,262534,0.0687298,
3,387534,0.0483571,
4,512534,0.0340533,
5,637534,0.0255221,
6,762534,0.0193714,
7,887534,0.0159692,
0,12534,,0.997088
1,137534,,0.144652
2,262534,,0.077353
3,387534,,0.0564285
4,512534,,0.0460072
5,637534,,0.0400405
6,762534,,0.0364236
7,887534,,0.0346459
