,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,1.0,,,,
1,75034,0.998932,,,,
2,137534,0.99458,,,,
3,200034,0.986182,,,,
4,262534,0.973207,,,,
5,325034,0.957521,,,,
6,387534,0.938878,,,,
7,450034,0.922494,,,,
0,901590,,0.0,,,
1,782117,,0.944606,,,
2,610710,,0.957295,,,
3,485167,,0.960046,,,
4,372392,,0.961298,,,
5,294535,,0.96173,,,
6,219539,,0.961771,,,
7,205080,,0.961791,,,
8,202061,,0.961791,,,
9,202033,,0.961791,,,
10,202033,,0.961791,,,
0,211693,,,0.952511,,
0,1638417,,,,0.406582,
1,1227630,,,,0.447707,
2,1021890,,,,0.482918,
3,898097,,,,0.513982,
4,815343,,,,0.549296,
5,755894,,,,0.573379,
6,711249,,,,0.599557,
0,905455,,,,,0.0227077
