,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.993331,,,,
1,75034,0.297262,,,,
2,137534,0.18301,,,,
3,200034,0.145057,,,,
4,262534,0.126129,,,,
5,325034,0.115396,,,,
6,387534,0.1067,,,,
7,450034,0.0962504,,,,
0,901590,,0.0202352,,,
1,782117,,0.0462782,,,
2,610710,,0.0933519,,,
3,485167,,0.143913,,,
4,372392,,0.210916,,,
5,294535,,0.276809,,,
6,219539,,0.319916,,,
7,205080,,0.343573,,,
8,202061,,0.350307,,,
9,202033,,0.350536,,,
10,202033,,0.350536,,,
0,211693,,,0.358479,,
0,1638417,,,,0.0546796,
1,1227630,,,,0.0592235,
2,1021890,,,,0.0631681,
3,898097,,,,0.0661211,
4,815343,,,,0.0697933,
5,755894,,,,0.0721579,
6,711249,,,,0.0748167,
0,905455,,,,,0.0396313
