,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.999849,,,,
1,75034,0.996382,,,,
2,137534,0.983547,,,,
3,200034,0.96326,,,,
4,262534,0.93899,,,,
5,325034,0.916765,,,,
6,387534,0.899451,,,,
7,450034,0.88892,,,,
0,554769,,0.0,,,
1,538187,,0.0368041,,,
2,510659,,0.0669753,,,
3,488503,,0.0868095,,,
4,468783,,0.1021,,,
5,456689,,0.109702,,,
6,453313,,0.111209,,,
7,452638,,0.111661,,,
8,452593,,0.111705,,,
9,452457,,0.111705,,,
10,452457,,0.111705,,,
0,452478,,,0.111834,,
0,1051021,,,,0.415656,
1,787343,,,,0.450738,
2,655102,,,,0.486573,
3,575538,,,,0.517002,
4,522329,,,,0.544482,
5,484108,,,,0.569872,
6,455288,,,,0.59733,
0,554797,,,,,0.000150748
