,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.993137,,,,
1,75034,0.146187,,,,
2,137534,0.0330629,,,,
3,200034,0.0123848,,,,
4,262534,0.00530207,,,,
5,325034,0.00368144,,,,
6,387534,0.00267104,,,,
7,450034,0.00201078,,,,
0,870078,,0.0,,,
1,743300,,0.0,,,
2,530729,,0.0,,,
3,390129,,2.00078e-05,,,
4,279996,,3.00117e-05,,,
5,230158,,6.00234e-05,,,
6,220076,,0.000340133,,,
7,218418,,0.00171067,,,
8,217928,,0.0117746,,,
9,217656,,0.0171767,,,
10,217656,,0.0171767,,,
0,220815,,,0.0171767,,
0,1602864,,,,0.00118046,
1,1201050,,,,0.00116045,
2,999698,,,,0.0012905,
3,878595,,,,0.00130051,
4,797683,,,,0.00143056,
5,739603,,,,0.00143056,
6,695840,,,,0.00139054,
0,871254,,,,,0.0
