,Memory usage,RangeBF,Splash,SuRF Real,CHaREQ,FST
0,12534,0.994278,,,,
1,75034,0.184074,,,,
2,137534,0.0410964,,,,
3,200034,0.0139356,,,,
4,262534,0.00705282,,,,
5,325034,0.00454182,,,,
6,387534,0.00297119,,,,
7,450034,0.00220088,,,,
0,867988,,0.0,,,
1,867649,,0.0,,,
2,741397,,0.0,,,
3,624196,,0.0,,,
4,529116,,0.0,,,
5,448245,,0.0,,,
6,387408,,0.0,,,
7,333855,,0.0,,,
8,285972,,0.0,,,
9,245031,,2.0008e-05,,,
10,223218,,5.002e-05,,,
11,217586,,0.00010004,,,
12,212442,,0.000560224,,,
13,211074,,0.000990396,,,
14,210718,,0.00172069,,,
15,210516,,0.00486194,,,
16,210098,,0.0137455,,,
17,209826,,0.0194178,,,
18,209826,,0.0194178,,,
19,209826,,0.0194178,,,
0,220878,,,0.0194178,,
0,1280229,,,,0.00136054,
1,1163854,,,,0.00142057,
2,1066875,,,,0.00143057,
3,984816,,,,0.00156062,
4,914479,,,,0.00155062,
5,853521,,,,0.00156062,
6,800183,,,,0.00171068,
7,753119,,,,0.00160064,
8,711285,,,,0.0017407,
9,673855,,,,0.00168067,
0,869231,,,,,0.0
