,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,1.0,,,,,,
1,75034,0.938576,,,,,,
2,137534,0.765409,,,,,,
3,200034,0.568904,,,,,,
4,262534,0.407318,,,,,,
5,325034,0.299156,,,,,,
6,387534,0.2296,,,,,,
7,450034,0.189678,,,,,,
0,70955,,0.999787,,,,,
1,83455,,0.999692,,,,,
2,95955,,0.99949,,,,,
3,108455,,0.999573,,,,,
4,120955,,0.999218,,,,,
5,133455,,0.998981,,,,,
0,85320,,,0.999704,,,,
1,97820,,,0.999597,,,,
2,110320,,,0.999384,,,,
3,122820,,,0.999455,,,,
4,135320,,,0.999099,,,,
5,147820,,,0.998838,,,,
0,112380,,,,0.999443,,,
1,124880,,,,0.999324,,,
2,137380,,,,0.999111,,,
3,149880,,,,0.999123,,,
4,162380,,,,0.998767,,,
5,174880,,,,0.998495,,,
0,154438,,,,,0.99776,,
1,166938,,,,,0.997558,,
2,179438,,,,,0.997286,,
3,191938,,,,,0.997274,,
4,204438,,,,,0.996883,,
5,216938,,,,,0.996634,,
0,453038,,,,,,0.133766,
0,555088,,,,,,,0.000414869
