,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.999958,,,,,,
1,75034,0.9841,,,,,,
2,137534,0.911476,,,,,,
3,200034,0.799174,,,,,,
4,262534,0.674409,,,,,,
5,325034,0.555458,,,,,,
6,387534,0.456778,,,,,,
7,450034,0.381254,,,,,,
0,110130,,0.979262,,,,,
1,122630,,0.978315,,,,,
2,135130,,0.976759,,,,,
3,147630,,0.974495,,,,,
4,160130,,0.972303,,,,,
5,172630,,0.969856,,,,,
0,151899,,,0.950533,,,,
1,164399,,,0.949472,,,,
2,176899,,,0.947633,,,,
3,189399,,,0.945313,,,,
4,201899,,,0.942554,,,,
5,214399,,,0.940277,,,,
0,210009,,,,0.900881,,,
1,222509,,,,0.899467,,,
2,235009,,,,0.897331,,,
3,247509,,,,0.894502,,,
4,260009,,,,0.891573,,,
5,272509,,,,0.889183,,,
0,283710,,,,,0.827465,,
1,296210,,,,,0.82557,,
2,308710,,,,,0.823066,,
3,321210,,,,,0.820293,,
4,333710,,,,,0.816997,,
5,346210,,,,,0.813518,,
0,210768,,,,,,0.774122,
0,903506,,,,,,,0.00606849
