,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.995449,,,,,,
1,75034,0.218481,,,,,,
2,137534,0.0584282,,,,,,
3,200034,0.0205629,,,,,,
4,262534,0.00848119,,,,,,
5,325034,0.00407057,,,,,,
6,387534,0.00242034,,,,,,
7,450034,0.00157022,,,,,,
0,110130,,0.00150021,,,,,
1,122630,,0.0014602,,,,,
2,135130,,0.00132018,,,,,
3,147630,,0.00132018,,,,,
4,160130,,0.00123017,,,,,
5,172630,,0.00115016,,,,,
0,151899,,,0.000170024,,,,
1,164399,,,0.000160022,,,,
2,176899,,,0.000180025,,,,
3,189399,,,0.000160022,,,,
4,201899,,,0.000170024,,,,
5,214399,,,0.000150021,,,,
0,210009,,,,4.00056e-05,,,
1,222509,,,,4.00056e-05,,,
2,235009,,,,4.00056e-05,,,
3,247509,,,,4.00056e-05,,,
4,260009,,,,4.00056e-05,,,
5,272509,,,,4.00056e-05,,,
0,283710,,,,,7.00098e-05,,
1,296210,,,,,7.00098e-05,,
2,308710,,,,,7.00098e-05,,
3,321210,,,,,7.00098e-05,,
4,333710,,,,,7.00098e-05,,
5,346210,,,,,7.00098e-05,,
0,210768,,,,,,0.167203,
0,903506,,,,,,,0.0
