,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,1.0,,,,,,
1,75034,0.997977,,,,,,
2,137534,0.973853,,,,,,
3,200034,0.927429,,,,,,
4,262534,0.86972,,,,,,
5,325034,0.789022,,,,,,
6,387534,0.700968,,,,,,
7,450034,0.624152,,,,,,
0,356201,,0.999357,,,,,
1,368701,,0.9991,,,,,
2,381201,,0.998281,,,,,
3,393701,,0.997439,,,,,
4,406201,,0.996702,,,,,
5,418701,,0.99517,,,,,
0,488104,,,0.997802,,,,
1,500604,,,0.99731,,,,
2,513104,,,0.996352,,,,
3,525604,,,0.994866,,,,
4,538104,,,0.993416,,,,
5,550604,,,0.991662,,,,
0,619882,,,,0.993416,,,
1,632382,,,,0.992481,,,
2,644882,,,,0.991183,,,
3,657382,,,,0.988856,,,
4,669882,,,,0.987172,,,
5,682382,,,,0.984202,,,
0,751116,,,,,0.982319,,
1,763616,,,,,0.980659,,
2,776116,,,,,0.978706,,
3,788616,,,,,0.975268,,
4,801116,,,,,0.972941,,
5,813616,,,,,0.968953,,
0,164031,,,,,,0.999883,
0,1415776,,,,,,,0.0
