,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.99992,,,,,,
1,75034,0.583944,,,,,,
2,137534,0.266993,,,,,,
3,200034,0.146309,,,,,,
4,262534,0.0918449,,,,,,
5,325034,0.0561764,,,,,,
6,387534,0.036049,,,,,,
7,450034,0.0254746,,,,,,
0,356201,,0.00893215,,,,,
1,368701,,0.00859168,,,,,
2,381201,,0.00801089,,,,,
3,393701,,0.0076504,,,,,
4,406201,,0.00732997,,,,,
5,418701,,0.00703957,,,,,
0,488104,,,0.000630858,,,,
1,500604,,,0.000650885,,,,
2,513104,,,0.000640872,,,,
3,525604,,,0.000620844,,,,
4,538104,,,0.000620844,,,,
5,550604,,,0.000610831,,,,
0,619882,,,,3.00409e-05,,,
1,632382,,,,2.00272e-05,,,
2,644882,,,,2.00272e-05,,,
3,657382,,,,3.00409e-05,,,
4,669882,,,,2.00272e-05,,,
5,682382,,,,3.00409e-05,,,
0,751116,,,,,2.00272e-05,,
1,763616,,,,,2.00272e-05,,
2,776116,,,,,2.00272e-05,,
3,788616,,,,,2.00272e-05,,
4,801116,,,,,2.00272e-05,,
5,813616,,,,,2.00272e-05,,
0,164031,,,,,,0.198931,
0,1415776,,,,,,,2.00272e-05
