,Memory usage,Range Bloom Filter,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF,FST
0,12534,0.99979,,,,,,
1,75034,0.193986,,,,,,
2,137534,0.0225518,,,,,,
3,200034,0.00512041,,,,,,
4,262534,0.00230018,,,,,,
5,325034,0.000970078,,,,,,
6,387534,0.000560045,,,,,,
7,450034,0.000350028,,,,,,
0,356201,,0.00230018,,,,,
1,368701,,0.00143011,,,,,
2,381201,,0.000810065,,,,,
3,393701,,0.000600048,,,,,
4,406201,,0.00038003,,,,,
5,418701,,0.000330026,,,,,
0,488104,,,0.000110009,,,,
1,500604,,,3.00024e-05,,,,
2,513104,,,2.00016e-05,,,,
3,525604,,,1.00008e-05,,,,
4,538104,,,1.00008e-05,,,,
5,550604,,,1.00008e-05,,,,
0,619882,,,,0.0,,,
1,632382,,,,0.0,,,
2,644882,,,,0.0,,,
3,657382,,,,0.0,,,
4,669882,,,,0.0,,,
5,682382,,,,0.0,,,
0,751116,,,,,0.0,,
1,763616,,,,,0.0,,
2,776116,,,,,0.0,,
3,788616,,,,,0.0,,
4,801116,,,,,0.0,,
5,813616,,,,,0.0,,
0,164031,,,,,,0.196726,
0,1415776,,,,,,,2.00016e-05
