,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,0.0390195,,,,,,,,,,
1,25034,0.00610305,,,,,,,,,,
2,37534,0.00290145,,,,,,,,,,
3,50034,0.00210105,,,,,,,,,,
4,62534,0.0018009,,,,,,,,,,
5,75034,0.0016008,,,,,,,,,,
6,87534,0.0010005,,,,,,,,,,
7,100034,0.00070035,,,,,,,,,,
0,52473,,0.997899,,,,,,,,,
1,78621,,0.981991,,,,,,,,,
2,104740,,0.946573,,,,,,,,,
3,130881,,0.83922,,,,,,,,,
4,157017,,0.692446,,,,,,,,,
5,183154,,0.454727,,,,,,,,,
0,149290,,,0.0002001,,,,,,,,
1,136102,,,0.00150075,,,,,,,,
2,109887,,,0.00510255,,,,,,,,
3,96922,,,0.0116058,,,,,,,,
4,71866,,,0.032016,,,,,,,,
5,49410,,,0.0866433,,,,,,,,
6,40081,,,0.134567,,,,,,,,
7,27519,,,0.226213,,,,,,,,
8,24699,,,0.258129,,,,,,,,
9,23744,,,0.276838,,,,,,,,
10,23744,,,0.276838,,,,,,,,
0,23744,,,,0.276838,,,,,,,
1,23744,,,,0.276838,,,,,,,
2,23777,,,,0.276238,,,,,,,
3,23925,,,,0.275338,,,,,,,
4,24272,,,,0.274137,,,,,,,
5,25210,,,,0.271136,,,,,,,
6,27252,,,,0.265133,,,,,,,
7,30946,,,,0.255128,,,,,,,
8,37648,,,,0.241521,,,,,,,
9,48900,,,,0.212806,,,,,,,
10,66116,,,,0.172186,,,,,,,
11,89092,,,,0.122861,,,,,,,
12,114371,,,,0.0704352,,,,,,,
13,136895,,,,0.0282141,,,,,,,
14,149290,,,,0.0002001,,,,,,,
0,112649,,,,,0.00070035,,,,,,
1,109523,,,,,0.00070035,,,,,,
2,107647,,,,,0.00070035,,,,,,
3,106396,,,,,0.00070035,,,,,,
4,105503,,,,,0.0008004,,,,,,
5,104833,,,,,0.0008004,,,,,,
0,100208,,,,,,0.00090045,,,,,
1,97082,,,,,,0.0008004,,,,,
2,95206,,,,,,0.0008004,,,,,
3,93955,,,,,,0.00090045,,,,,
4,93062,,,,,,0.00110055,,,,,
5,92392,,,,,,0.0012006,,,,,
0,87768,,,,,,,0.00130065,,,,
1,84642,,,,,,,0.00110055,,,,
2,82766,,,,,,,0.0012006,,,,
3,81515,,,,,,,0.0014007,,,,
4,80622,,,,,,,0.0016008,,,,
5,79952,,,,,,,0.0016008,,,,
0,75327,,,,,,,,0.0022011,,,
1,72201,,,,,,,,0.0018009,,,
2,70325,,,,,,,,0.00210105,,,
3,69074,,,,,,,,0.00250125,,,
4,68181,,,,,,,,0.0026013,,,
5,67511,,,,,,,,0.0024012,,,
0,23721,,,,,,,,,0.276038,,
1,24977,,,,,,,,,0.276038,,
2,26225,,,,,,,,,0.194997,,
3,27473,,,,,,,,,0.155878,,
4,28729,,,,,,,,,0.126263,,
5,29977,,,,,,,,,0.114257,,
6,31225,,,,,,,,,0.106753,,
7,32481,,,,,,,,,0.101951,,
8,33729,,,,,,,,,0.10015,,
0,23721,,,,,,,,,,0.276038,
0,149279,,,,,,,,,,,0.00050025
