,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,,,
1,25034,0.999086,,,,,,,,,,
2,37534,0.993604,,,,,,,,,,
3,50034,0.96482,,,,,,,,,,
4,62534,0.908738,,,,,,,,,,
5,75034,0.808338,,,,,,,,,,
6,87534,0.700857,,,,,,,,,,
7,100034,0.586065,,,,,,,,,,
0,52387,,0.980697,,,,,,,,,
1,78424,,0.845003,,,,,,,,,
2,104544,,0.609023,,,,,,,,,
3,130660,,0.383666,,,,,,,,,
4,156698,,0.212793,,,,,,,,,
5,182815,,0.125985,,,,,,,,,
0,178159,,,0.0,,,,,,,,
1,164947,,,1.0,,,,,,,,
2,138547,,,1.0,,,,,,,,
3,125347,,,1.0,,,,,,,,
4,98935,,,1.0,,,,,,,,
5,72535,,,1.0,,,,,,,,
6,59319,,,1.0,,,,,,,,
7,32925,,,1.0,,,,,,,,
8,19915,,,1.0,,,,,,,,
9,16224,,,1.0,,,,,,,,
10,16224,,,1.0,,,,,,,,
0,16224,,,,1.0,,,,,,,
1,16224,,,,1.0,,,,,,,
2,16224,,,,1.0,,,,,,,
3,16224,,,,1.0,,,,,,,
4,16224,,,,1.0,,,,,,,
5,16224,,,,1.0,,,,,,,
6,16224,,,,1.0,,,,,,,
7,16224,,,,1.0,,,,,,,
8,16224,,,,1.0,,,,,,,
9,16224,,,,1.0,,,,,,,
10,16224,,,,1.0,,,,,,,
11,16260,,,,0.999772,,,,,,,
12,18340,,,,0.985608,,,,,,,
13,130252,,,,0.278355,,,,,,,
14,178159,,,,0.0,,,,,,,
0,136637,,,,,0.175443,,,,,,
1,133513,,,,,0.184123,,,,,,
2,131638,,,,,0.195317,,,,,,
3,130387,,,,,0.203084,,,,,,
4,129494,,,,,0.218161,,,,,,
5,128825,,,,,0.227984,,,,,,
0,120924,,,,,,0.175443,,,,,
1,117800,,,,,,0.184123,,,,,
2,115925,,,,,,0.195317,,,,,
3,114674,,,,,,0.203084,,,,,
4,113781,,,,,,0.218161,,,,,
5,113112,,,,,,0.227984,,,,,
0,105212,,,,,,,0.175443,,,,
1,102088,,,,,,,0.184123,,,,
2,100213,,,,,,,0.195317,,,,
3,98962,,,,,,,0.203084,,,,
4,98069,,,,,,,0.218161,,,,
5,97400,,,,,,,0.227984,,,,
0,89499,,,,,,,,0.175443,,,
1,86375,,,,,,,,0.184123,,,
2,84500,,,,,,,,0.195317,,,
3,83249,,,,,,,,0.203084,,,
4,82356,,,,,,,,0.218161,,,
5,81687,,,,,,,,0.227984,,,
0,16176,,,,,,,,,1.0,,
1,17432,,,,,,,,,1.0,,
2,18688,,,,,,,,,1.0,,
3,19928,,,,,,,,,1.0,,
4,21184,,,,,,,,,1.0,,
5,22440,,,,,,,,,1.0,,
6,23680,,,,,,,,,1.0,,
7,24936,,,,,,,,,1.0,,
8,26184,,,,,,,,,1.0,,
0,16176,,,,,,,,,,1.0,
0,178127,,,,,,,,,,,0.0
