,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,,,
1,25034,0.997696,,,,,,,,,,
2,37534,0.976265,,,,,,,,,,
3,50034,0.91128,,,,,,,,,,
4,62534,0.800899,,,,,,,,,,
5,75034,0.655029,,,,,,,,,,
6,87534,0.516995,,,,,,,,,,
7,100034,0.407075,,,,,,,,,,
0,52473,,0.998041,,,,,,,,,
1,78621,,0.985597,,,,,,,,,
2,104740,,0.944579,,,,,,,,,
3,130881,,0.838576,,,,,,,,,
4,157017,,0.690978,,,,,,,,,
5,183154,,0.461113,,,,,,,,,
0,149290,,,0.0,,,,,,,,
1,136102,,,0.998963,,,,,,,,
2,109887,,,0.999193,,,,,,,,
3,96922,,,0.999424,,,,,,,,
4,71866,,,0.999424,,,,,,,,
5,49410,,,0.999424,,,,,,,,
6,40081,,,0.999424,,,,,,,,
7,27519,,,0.999424,,,,,,,,
8,24699,,,0.999424,,,,,,,,
9,23744,,,0.999424,,,,,,,,
10,23744,,,0.999424,,,,,,,,
0,23744,,,,0.999424,,,,,,,
1,23744,,,,0.999424,,,,,,,
2,23777,,,,0.996889,,,,,,,
3,23925,,,,0.99228,,,,,,,
4,24272,,,,0.983063,,,,,,,
5,25210,,,,0.964166,,,,,,,
6,27252,,,,0.932481,,,,,,,
7,30946,,,,0.88766,,,,,,,
8,37648,,,,0.815532,,,,,,,
9,48900,,,,0.710105,,,,,,,
10,66116,,,,0.563544,,,,,,,
11,89092,,,,0.387141,,,,,,,
12,114371,,,,0.212467,,,,,,,
13,136895,,,,0.0717825,,,,,,,
14,149290,,,,0.0,,,,,,,
0,112649,,,,,0.176288,,,,,,
1,109523,,,,,0.184353,,,,,,
2,107647,,,,,0.198064,,,,,,
3,106396,,,,,0.212582,,,,,,
4,105503,,,,,0.222145,,,,,,
5,104833,,,,,0.22998,,,,,,
0,100208,,,,,,0.176288,,,,,
1,97082,,,,,,0.184353,,,,,
2,95206,,,,,,0.198064,,,,,
3,93955,,,,,,0.212582,,,,,
4,93062,,,,,,0.222145,,,,,
5,92392,,,,,,0.22998,,,,,
0,87768,,,,,,,0.176288,,,,
1,84642,,,,,,,0.184353,,,,
2,82766,,,,,,,0.198064,,,,
3,81515,,,,,,,0.212582,,,,
4,80622,,,,,,,0.222145,,,,
5,79952,,,,,,,0.22998,,,,
0,75327,,,,,,,,0.176288,,,
1,72201,,,,,,,,0.184353,,,
2,70325,,,,,,,,0.198064,,,
3,69074,,,,,,,,0.212582,,,
4,68181,,,,,,,,0.222145,,,
5,67511,,,,,,,,0.22998,,,
0,23721,,,,,,,,,0.998733,,
1,24977,,,,,,,,,0.998733,,
2,26225,,,,,,,,,0.99735,,
3,27473,,,,,,,,,0.996543,,
4,28729,,,,,,,,,0.996428,,
5,29977,,,,,,,,,0.996313,,
6,31225,,,,,,,,,0.996313,,
7,32481,,,,,,,,,0.996313,,
8,33729,,,,,,,,,0.996313,,
0,23721,,,,,,,,,,0.998733,
0,149279,,,,,,,,,,,0.0
