,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,,,
1,25034,0.998652,,,,,,,,,,
2,37534,0.977211,,,,,,,,,,
3,50034,0.913992,,,,,,,,,,
4,62534,0.791595,,,,,,,,,,
5,75034,0.651801,,,,,,,,,,
6,87534,0.520706,,,,,,,,,,
7,100034,0.412276,,,,,,,,,,
0,52473,,0.997427,,,,,,,,,
1,78621,,0.981622,,,,,,,,,
2,104740,,0.924896,,,,,,,,,
3,130881,,0.772115,,,,,,,,,
4,157017,,0.477334,,,,,,,,,
5,183154,,0.201176,,,,,,,,,
0,149290,,,0.0,,,,,,,,
1,136102,,,0.150821,,,,,,,,
2,109887,,,0.416932,,,,,,,,
3,96922,,,0.52965,,,,,,,,
4,71866,,,0.716246,,,,,,,,
5,49410,,,0.844891,,,,,,,,
6,40081,,,0.884587,,,,,,,,
7,27519,,,0.928571,,,,,,,,
8,24699,,,0.934452,,,,,,,,
9,23744,,,0.935923,,,,,,,,
10,23744,,,0.935923,,,,,,,,
0,23744,,,,0.935923,,,,,,,
1,23744,,,,0.935923,,,,,,,
2,23777,,,,0.935432,,,,,,,
3,23925,,,,0.933962,,,,,,,
4,24272,,,,0.930287,,,,,,,
5,25210,,,,0.918892,,,,,,,
6,27252,,,,0.899902,,,,,,,
7,30946,,,,0.865964,,,,,,,
8,37648,,,,0.804705,,,,,,,
9,48900,,,,0.713306,,,,,,,
10,66116,,,,0.573879,,,,,,,
11,89092,,,,0.402107,,,,,,,
12,114371,,,,0.225802,,,,,,,
13,136895,,,,0.0780446,,,,,,,
14,149290,,,,0.0,,,,,,,
0,112649,,,,,0.335212,,,,,,
1,109523,,,,,0.334844,,,,,,
2,107647,,,,,0.33754,,,,,,
3,106396,,,,,0.340358,,,,,,
4,105503,,,,,0.344033,,,,,,
5,104833,,,,,0.344156,,,,,,
0,100208,,,,,,0.423671,,,,,
1,97082,,,,,,0.423303,,,,,
2,95206,,,,,,0.425999,,,,,
3,93955,,,,,,0.428816,,,,,
4,93062,,,,,,0.432492,,,,,
5,92392,,,,,,0.432615,,,,,
0,87768,,,,,,,0.546312,,,,
1,84642,,,,,,,0.545945,,,,
2,82766,,,,,,,0.54864,,,,
3,81515,,,,,,,0.551458,,,,
4,80622,,,,,,,0.555134,,,,
5,79952,,,,,,,0.555256,,,,
0,75327,,,,,,,,0.703872,,,
1,72201,,,,,,,,0.703504,,,
2,70325,,,,,,,,0.706199,,,
3,69074,,,,,,,,0.709017,,,
4,68181,,,,,,,,0.712693,,,
5,67511,,,,,,,,0.712815,,,
0,23721,,,,,,,,,0.935555,,
1,24977,,,,,,,,,0.935555,,
2,26225,,,,,,,,,0.910071,,
3,27473,,,,,,,,,0.896839,,
4,28729,,,,,,,,,0.88814,,
5,29977,,,,,,,,,0.881892,,
6,31225,,,,,,,,,0.878951,,
7,32481,,,,,,,,,0.876746,,
8,33729,,,,,,,,,0.876378,,
0,23721,,,,,,,,,,0.935555,
0,149279,,,,,,,,,,,0.000122519
