,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,Layered CHaREQ h=14 b=5,Layered CHaREQ h=14 b=6,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,,,
1,25034,0.999426,,,,,,,,,,
2,37534,0.992312,,,,,,,,,,
3,50034,0.967413,,,,,,,,,,
4,62534,0.912679,,,,,,,,,,
5,75034,0.826391,,,,,,,,,,
6,87534,0.714745,,,,,,,,,,
7,100034,0.599656,,,,,,,,,,
0,52387,,0.994033,,,,,,,,,
1,78424,,0.969593,,,,,,,,,
2,104544,,0.913253,,,,,,,,,
3,130660,,0.821916,,,,,,,,,
4,156698,,0.694664,,,,,,,,,
5,182815,,0.539415,,,,,,,,,
0,178159,,,0.0,,,,,,,,
1,164947,,,0.136431,,,,,,,,
2,138547,,,0.383477,,,,,,,,
3,125347,,,0.489845,,,,,,,,
4,98935,,,0.663454,,,,,,,,
5,72535,,,0.813769,,,,,,,,
6,59319,,,0.87206,,,,,,,,
7,32925,,,0.95938,,,,,,,,
8,19915,,,0.987034,,,,,,,,
9,16224,,,0.991624,,,,,,,,
10,16224,,,0.991624,,,,,,,,
0,16224,,,,0.991624,,,,,,,
1,16224,,,,0.991624,,,,,,,
2,16224,,,,0.991624,,,,,,,
3,16224,,,,0.991624,,,,,,,
4,16224,,,,0.991624,,,,,,,
5,16224,,,,0.991624,,,,,,,
6,16224,,,,0.991624,,,,,,,
7,16224,,,,0.991624,,,,,,,
8,16224,,,,0.991624,,,,,,,
9,16224,,,,0.991624,,,,,,,
10,16224,,,,0.991624,,,,,,,
11,16260,,,,0.991394,,,,,,,
12,18340,,,,0.976936,,,,,,,
13,130252,,,,0.278944,,,,,,,
14,178159,,,,0.0,,,,,,,
0,136637,,,,,0.331956,,,,,,
1,133513,,,,,0.33471,,,,,,
2,131638,,,,,0.336317,,,,,,
3,130387,,,,,0.335399,,,,,,
4,129494,,,,,0.337923,,,,,,
5,128825,,,,,0.339071,,,,,,
0,120924,,,,,,0.419277,,,,,
1,117800,,,,,,0.422031,,,,,
2,115925,,,,,,0.423637,,,,,
3,114674,,,,,,0.422719,,,,,
4,113781,,,,,,0.425244,,,,,
5,113112,,,,,,0.426391,,,,,
0,105212,,,,,,,0.541136,,,,
1,102088,,,,,,,0.54389,,,,
2,100213,,,,,,,0.545496,,,,
3,98962,,,,,,,0.544578,,,,
4,98069,,,,,,,0.547103,,,,
5,97400,,,,,,,0.54825,,,,
0,89499,,,,,,,,0.704877,,,
1,86375,,,,,,,,0.707631,,,
2,84500,,,,,,,,0.709237,,,
3,83249,,,,,,,,0.708319,,,
4,82356,,,,,,,,0.710843,,,
5,81687,,,,,,,,0.711991,,,
0,16176,,,,,,,,,0.991624,,
1,17432,,,,,,,,,0.991624,,
2,18688,,,,,,,,,0.982329,,
3,19928,,,,,,,,,0.976592,,
4,21184,,,,,,,,,0.972117,,
5,22440,,,,,,,,,0.970052,,
6,23680,,,,,,,,,0.968445,,
7,24936,,,,,,,,,0.967757,,
8,26184,,,,,,,,,0.967068,,
0,16176,,,,,,,,,,0.991624,
0,178127,,,,,,,,,,,0.0
