,Memory usage,RangeBF,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,CHaREQ,SuRF Real,SuRF Base,FST
0,12534,0.99979,,,,,,
1,137534,0.0225518,,,,,,
2,262534,0.00230018,,,,,,
3,387534,0.000560045,,,,,,
4,512534,0.000270022,,,,,,
5,637534,0.000140011,,,,,,
6,762534,6.00048e-05,,,,,,
7,887534,3.00024e-05,,,,,,
0,1415807,,0.0,,,,,
1,1285587,,0.0,,,,,
2,1083924,,7.00056e-05,,,,,
3,906932,,0.00050004,,,,,
4,701975,,0.00151012,,,,,
5,493795,,0.00803064,,,,,
6,328983,,0.0343627,,,,,
7,182245,,0.155802,,,,,
8,164066,,0.196726,,,,,
9,164065,,0.196756,,,,,
10,164065,,0.196756,,,,,
0,164065,,,0.196756,,,,
1,164065,,,0.196756,,,,
2,164150,,,0.196686,,,,
3,164674,,,0.196336,,,,
4,166808,,,0.195556,,,,
5,173476,,,0.193836,,,,
6,190846,,,0.189675,,,,
7,256197,,,0.181094,,,,
8,341311,,,0.165613,,,,
9,489697,,,0.140301,,,,
10,702422,,,0.107079,,,,
11,952302,,,0.0689255,,,,
12,1176596,,,0.0356629,,,,
13,1323372,,,0.0145112,,,,
14,1390797,,,0.00422034,,,,
0,1447992,,,,8.00064e-05,,,
1,1375338,,,,0.00012001,,,
2,1314565,,,,9.00072e-05,,,
3,1263103,,,,8.00064e-05,,,
4,1218835,,,,8.00064e-05,,,
5,1180374,,,,0.000100008,,,
6,1146811,,,,8.00064e-05,,,
7,1116982,,,,0.000110009,,,
8,1090386,,,,9.00072e-05,,,
9,1066666,,,,0.000110009,,,
0,164031,,,,,0.196726,,
1,176535,,,,,0.196726,,
2,189031,,,,,0.196726,,
3,201535,,,,,0.196726,,
4,214031,,,,,0.101798,,
5,250526,,,,,0.0538243,,
6,263030,,,,,0.0285523,,
7,275526,,,,,0.0144412,,
8,288022,,,,,0.00796064,,
0,164031,,,,,,0.196726,
0,1415776,,,,,,,2.00016e-05
